Paper ID,Title,URL,Summary,First Author,Publish Date,Update Date,Code URL,Stars,Categories
2512.11579v1,Interplay between antiferromagnetic spin fluctuation and electron-phonon coupling and the origin of the peak-dip-hump structure in the anti-nodal spectrum of high-$T_{c}$ cuprate superconductors,http://arxiv.org/abs/2512.11579v1,"Electron-phonon coupling is believed to be responsible for many spectral anomalies in the cuprate superconductors. In particular, the $B_{1g}$ buckling mode of the oxygen ion in the $CuO_{2}$ plane has been proposed to be responsible for the dramatic peak-dip-hump(PDH) structure in the anti-nodal spectrum. The recent observation of the exceptional flat quasiparticle dispersion in the anti-nodal region and the sudden suppression of the PDH structure around the pseudogap end point cast doubts on such a scenario. Instead, a scenario involving the coupling to the antiferromagnetic spin fluctuation seems to resolve both puzzles naturally. Here we present a systematic study on the interplay between antiferromagnetic spin fluctuation and electron-phonon coupling in the cuprate superconductors. We show that the coupling strength to the $B_{1g}$ buckling mode is strongly suppressed by the vertex correction caused by the antiferromagnetic spin fluctuation in the $\mathbf{q}\rightarrow 0$ limit as a result of the destructive interference between electron-phonon coupling at electron momentum differ by the antiferromagnetic wave vector. Counterintuitively, we find that the same vertex correction enhances the phonon contribution to the PDH structure. We also find that while the coupling to either the antiferromagnetic spin fluctuation or the $B_{1g}$ buckling mode can generate a PDH structure in the anti-nodal spectrum with similar phenomenologies, the sudden suppression of such a structure around the pseudogap end point should be mainly attributed to the dramatic change in the nature of the spin fluctuation at such a critical doping. We suggest to take the PDH structure in the anti-nodal spectrum as a spectral signature for the emergence of fluctuating local moment in the pseudogap phase and the entrance of a doped Mott insulating state.",Xinyue Liu,2025/12/12,2025/12/12,,N/A,['cond-mat.str-el']
2512.11025v1,Wet Hair: Global Symmetries in Entanglement Islands,http://arxiv.org/abs/2512.11025v1,"A central conjecture in quantum gravity is the non-existence of global symmetries. As a fully unitary theory, there is no information loss in a UV complete quantum gravity theory. We see both these concepts reflected in the AdS/CFT correspondence, which tells us that dynamical processes in AdS are fully captured by a manifestly unitary CFT with no information loss. Furthermore, global symmetries of the CFT are dual to gauge symmetries in the AdS, which implies no global symmetry in the AdS. In this work, we provide concrete evidence for the connection between the non-existence of global symmetries and the absence of information loss in quantum gravity. We study the $\textit{island setups}$ in which a gravitational AdS is coupled with a nongravitational bath on its boundary. In such theories, the information in the AdS can be lost to the bath. We provide concrete examples with global symmetries in the island setup, from both the bottom-up and the top-down perspectives. We argue that these global symmetries are consistent due to $\textit{entanglement islands}$, in which holography is realized in a novel fashion. The global symmetries we construct are all mixed with spontaneously broken gauge symmetries. We will show that this fact has two implications: $\textbf{1)}$ The black hole hair is detectable in the bath (``wet hair""); $\textbf{2)}$ a resolution of a puzzle proposed by Harlow and Shagoulian.",Hao Geng,2025/12/11,2025/12/11,,N/A,"['hep-th', 'gr-qc', 'hep-ph']"
2512.10941v1,Mull-Tokens: Modality-Agnostic Latent Thinking,http://arxiv.org/abs/2512.10941v1,"Reasoning goes beyond language; the real world requires reasoning about space, time, affordances, and much more that words alone cannot convey. Existing multimodal models exploring the potential of reasoning with images are brittle and do not scale. They rely on calling specialist tools, costly generation of images, or handcrafted reasoning data to switch between text and image thoughts. Instead, we offer a simpler alternative -- Mull-Tokens -- modality-agnostic latent tokens pre-trained to hold intermediate information in either image or text modalities to let the model think free-form towards the correct answer. We investigate best practices to train Mull-Tokens inspired by latent reasoning frameworks. We first train Mull-Tokens using supervision from interleaved text-image traces, and then fine-tune without any supervision by only using the final answers. Across four challenging spatial reasoning benchmarks involving tasks such as solving puzzles and taking different perspectives, we demonstrate that Mull-Tokens improve upon several baselines utilizing text-only reasoning or interleaved image-text reasoning, achieving a +3% average improvement and up to +16% on a puzzle solving reasoning-heavy split compared to our strongest baseline. Adding to conversations around challenges in grounding textual and visual reasoning, Mull-Tokens offers a simple solution to abstractly think in multiple modalities.",Arijit Ray,2025/12/11,2025/12/11,,N/A,"['cs.CV', 'cs.AI']"
2512.10834v1,Allometric scaling of brain activity explained by avalanche criticality,http://arxiv.org/abs/2512.10834v1,"Allometric scaling laws, such as Kleiber's law for metabolic rate, highlight how efficiency emerges with size across living systems. The brain, with its characteristic sublinear scaling of activity, has long posed a puzzle: why do larger brains operate with disproportionately lower firing rates? Here we show that this economy of scale is a universal outcome of avalanche dynamics. We derive analytical scaling laws directly from avalanche statistics, establishing that any system governed by critical avalanches must exhibit sublinear activity-size relations. This theoretical prediction is then verified in integrate-and-fire neuronal networks at criticality and in classical self-organized criticality models, demonstrating that the effect is not model-specific but generic. The predicted exponents align with experimental observations across mammal species, bridging dynamical criticality with the allometry of brain metabolism. Our results reveal avalanche criticality as a fundamental mechanism underlying Kleiber-like scaling in the brain.",Tiago S. A. N. Simões,2025/12/11,2025/12/11,,N/A,['q-bio.NC']
2512.10525v1,Parallel Neuron Groups in the Drosophila Brain,http://arxiv.org/abs/2512.10525v1,"The full connectome of an adult Drosophila enables a search for novel neural structures in the insect brain. I describe a new neural structure, called a Parallel Neuron Group (PNG). Two neurons are called parallel if they share a significant number of input neurons and output neurons. Most pairs of neurons in the Drosophila brain have very small parallel match. There are about twenty larger groups of neurons for which any pair of neurons in the group has a high match. These are the parallel groups. Parallel groups contain only about 1000 out of the 65,000 neurons in the brain, and have distinctive properties. There are groups in the right mushroom bodies, the antennal lobes, the lobula, and in two central neuropils (GNG and EB). Most parallel groups do not have lateral symmetry. A group usually has one major input neuron, which inputs to all the neurons in the group, and a small number of major output neurons. The major input and output neurons are laterally asymmetric. Parallel neuron groups present puzzles, such as: what does a group do, that could not be done by one larger neuron? Do all neurons in a group fire in synchrony, or do they perform different functions? Why are they laterally asymmetric? These may merit further investigation.",Robert Worden,2025/12/11,2025/12/11,,N/A,['q-bio.NC']
2512.10021v1,Corkscrew motion of Trypanosome brucei is driven by helical beating of the flagellum and facilitated by its bent shape,http://arxiv.org/abs/2512.10021v1,"In the pathogenic parasite Trypanosoma brucei, a laterally attached flagellum drives rapid deformation of the complex cell body, producing puzzling dynamics. High-speed defocusing imaging reveals that surface points trace flower-like patterns in transverse planes. The petals arise from clockwise flagellar beating, which generates a right-handed helical wave propagating from the anterior tip along the body, advancing the cell like a twisted corkscrew. The central lobes result from slower counterclockwise body rotation required to balance the active torque. The bent cell shape underneath the flagellum superimposes these two chiral motions at different radial distances, producing the observed patterns. Three-dimensional hydrodynamic simulations using the method of regularized Stokeslets reproduce these dynamics and show that bent cell shape enhances swimming, suggesting an adaptive advantage of T. brucei's morphology.",Sizhe Cheng,2025/12/10,2025/12/10,,N/A,"['physics.bio-ph', 'cond-mat.soft', 'physics.flu-dyn']"
2512.09980v1,UV Luminosity Functions from HST and JWST: A Possible Resolution to the High-Redshift Galaxy Abundance Puzzle and Implications for Cosmic Strings,http://arxiv.org/abs/2512.09980v1,"Recent observations of high redshift galaxies by the James Webb Space Telescope suggest the presence of a bright population of galaxies that is more abundant than predicted by most galaxy formation models. These observations have led to a rethinking of these models, and numerous astrophysical and cosmological solutions have been proposed, including cosmic strings, topological defects that may be remnants of a specific phase transition in the very early moments of the Universe. In this paper, we integrate cosmic strings, a source of nonlinear and non-Gaussian perturbations, into the semi analytical code Zeus21, allowing us to efficiently predict the ultraviolet luminosity function (UVLF). We conduct a precise study of parameter degeneracies between star-formation astrophysics and cosmic-string phenomenology. Our results suggest that cosmic strings can boost the early-galaxy abundance enough to explain the measured UVLFs from the James Webb and Hubble Space Telescopes from redshift z = 4 to z = 17 without modifying the star-formation physics. In addition, we set a new upper bound on the string tension of $Gμ\lessapprox 10^{-8}$ ($95\%$ credibility), improving upon previous limits from the cosmic microwave background. Although with current data there is some level of model and prior dependence to this limit, it suggests that UVLFs are a promising avenue for future observational constraints on cosmic-string physics.",Mattéo Blamart,2025/12/10,2025/12/10,,N/A,"['astro-ph.CO', 'astro-ph.GA', 'gr-qc', 'hep-ph', 'hep-th']"
2512.09761v2,Prefrontal scaling of reward prediction error readout gates reinforcement-derived adaptive behavior in primates,http://arxiv.org/abs/2512.09761v2,"Reinforcement learning (RL) enables adaptive behavior across species via reward prediction errors (RPEs), but the neural origins of species-specific adaptability remain unknown. Integrating RL modeling, transcriptomics, and neuroimaging during reversal learning, we discovered convergent RPE signatures - shared monoaminergic/synaptic gene upregulation and neuroanatomical representations, yet humans outperformed macaques behaviorally. Single-trial decoding showed RPEs guided choices similarly in both species, but humans disproportionately recruited dorsal anterior cingulate (dACC) and dorsolateral prefrontal cortex (dlPFC). Cross-species alignment uncovered that macaque prefrontal circuits encode human-like optimal RPEs yet fail to translate them into action. Adaptability scaled not with RPE encoding fidelity, but with the areal extent of dACC/dlPFC recruitment governing RPE-to-action transformation. These findings resolve an evolutionary puzzle: behavioral performance gaps arise from executive cortical readout efficiency, not encoding capacity.",Tian Sang,2025/12/10,2025/12/11,,N/A,['q-bio.NC']
2512.09256v1,Observation of ubiquitous charge correlations and hidden quantum critical point in hole-doped kagome superconductors,http://arxiv.org/abs/2512.09256v1,"The interplay between superconductivity and charge-density wave (CDW) order, and its evolution with carrier density, is central to the physics of many quantum materials, notably high-$T_c$ cuprates and kagome metals. Hole-doped kagome compounds exhibit puzzling double-dome superconductivity and, as chemical substitution inevitably introduces quenched disorder, their properties remain poorly understood. Here, by leveraging the sensitivity of nuclear quadrupole resonance to local and static orderings, we uncover new features, primarily the incipient and fragmented CDW phases, in the charge landscape of CsV$_3$Sb$_{5-x}$Sn$_x$. Static CDW puddles are observed well above the transition temperature, a hallmark of pinning by defects. Their doping and temperature evolution indicate that, in the absence of disorder, the inverse Star-of-David $π$-shifted (ISD-$π$) CDW order would vanish near $x=0.12$, between the two superconducting domes. This critical doping represents a hidden quantum critical point. Nevertheless, the ISD-$π$ pattern persists well beyond previous reports, although its volume fraction is progressively reduced up to the critical doping at which it saturates. We establish that carrier doping promotes fragmentation of the ISD-$π$ order, whereas randomness preserves the ISD-$π$ patches.",Ilija K. Nikolov,2025/12/10,2025/12/10,,N/A,['cond-mat.str-el']
2512.09195v1,Finite $V_{\rm 2Δ}$ puzzle in low-multiplicity pp collisions from ultra-long-range azimuthal correlations in the string-shoving model,http://arxiv.org/abs/2512.09195v1,"Ultra-long range angular correlations have been recently reported by the ALICE collaboration in pp collisions at $\sqrt{s}=13$ TeV below ${\rm d}N_{\rm ch}/{\rm d}η=7$. The measurements have been performed as a function of the charged-particle multiplicity at midrapidity ($N_{\rm ch}$ in $|η|<0.8$), which is known to be strongly sensitive to local multiplicity fluctuations. The present work investigates the impact of the event-activity estimator on ultra-long range angular correlations. The study is conducted in the framework of PYTHIA8 with the string shoving mechanism since it gives a non-zero elliptic flow coefficient, $V_{2Δ}$. The analysis is conducted as a function of $N_{\rm ch}$, the number of parton-parton scatterings ($N_{\rm mpi}$) and flattenicity. Surprisingly, for ultra-long range correlations, pp collisions with $N_{\rm mpi}=1$ (dijets) seems to be the most sensitive to string shoving. The effect diminishes with increasing $N_{\rm mpi}$. While in data, within uncertainties, $V_{2Δ}$ exhibits a weak multiplicity dependence; the string shoving mechanism gives a $V_{2Δ}$ that decreases with the increase in $N_{\rm ch}$. The present work therefore supports the picture stating that mechanisms such as string shoving might explain the low multiplicity limit, whereas, hydro becomes relevant in high-multiplicity pp collisions. This work also suggests that flattenicity might be more effective than $N_{\rm ch}$ to better handle non-flow effects.",Antonio Ortiz,2025/12/9,2025/12/9,,N/A,['hep-ph']
