Paper ID,Title,URL,Summary,First Author,Publish Date,Update Date,Code URL,Stars,Categories
2512.11579v1,反铁磁自旋涨落与电子-声子耦合之间的相互作用，以及高$T_{c}$铜氧化物超导体反节点谱中峰值-谷值-隆起结构起源,http://arxiv.org/abs/2512.11579v1,电子-声子耦合被认为是对铜氧化物超导体中许多光谱异常负责的。特别是，$CuO_2$平面中氧离子的$B_{1g}$弯曲模式被提出是导致反节点光谱中显著的峰值-谷-鼓(PDH)结构的原因。最近在反节点区域观察到异常平坦的准粒子能散以及PDH结构在伪隙终点附近的突然抑制，对这种情景提出了质疑。相反，涉及与反铁磁自旋涨落的耦合的情景似乎自然地解决了这两个谜团。在这里，我们系统地研究了反铁磁自旋涨落与电子-声子耦合在铜氧化物超导体中的相互作用。我们表明，由于反铁磁波矢导致的电子动量不同的电子-声子耦合之间的破坏性干涉，反节点极限下，反铁磁自旋涨落引起的顶点校正强烈抑制了对$B_{1g}$弯曲模式的耦合强度。出人意料的是，我们发现相同的顶点校正增强了PDH结构中的声子贡献。我们还发现，虽然与反铁磁自旋涨落或$B_{1g}$弯曲模式的耦合都可以在反节点光谱中产生具有类似现象的PDH结构，但这种结构在伪隙终点附近的突然抑制应主要归因于在如此关键的掺杂下自旋涨落性质的剧烈变化。我们建议将反节点光谱中的PDH结构作为伪隙相中局域自旋涨落出现和掺杂莫特绝缘态进入的光谱标志。,刘心悦,2025/12/12,2025/12/12,,N/A,['强关联电子']
2512.11025v1,湿发：纠缠岛中的全局对称性,http://arxiv.org/abs/2512.11025v1,量子引力中的一个核心猜想是全球对称性的不存在。作为一个完全可逆的理论，在紫外完备的量子引力理论中不存在信息损失。我们在AdS/CFT对应中看到了这两个概念的体现，它告诉我们AdS中的动力学过程被一个显然可逆且无信息损失的CFT完全捕捉。此外，CFT的全局对称性与AdS中的规范对称性相对应，这意味着AdS中没有全局对称性。在这项工作中，我们提供了关于量子引力中全局对称性不存在和信息损失缺失之间联系的具体证据。我们研究了包含一个引力AdS与其边界上的非引力浴耦合的“岛屿设置”。在这些理论中，AdS中的信息可能会丢失到浴中。我们从自下而上和自上而下的角度提供了具有全局对称性的岛屿设置的具体例子。我们论证，由于“纠缠岛屿”的存在，这些全局对称性是一致的，在这些岛屿中，全息原理以一种新颖的方式实现。我们构建的全局对称性都混合了自发破缺的规范对称性。我们将表明这一事实有两个含义：$\textbf{1)}$ 黑洞的毛发可以在浴中被探测到（“湿毛发”）；$\textbf{2)}$ 解决了Harlow和Shagoulian提出的谜题。,好耕,2025/12/11,2025/12/11,,N/A,"['高能物理理论', '广义相对论和量子宇宙学', '高能物理-现象学']"
2512.10941v1,穆尔-代币：模态无关的潜在思维,http://arxiv.org/abs/2512.10941v1,推理超越了语言；现实世界需要关于空间、时间、可用性等方面的推理，而这些是单靠文字无法传达的。现有的探索图像推理潜力的多模态模型脆弱且无法扩展。它们依赖于调用专业工具、昂贵的图像生成或手工制作的推理数据来在文本和图像思维之间切换。相反，我们提供了一个更简单的替代方案——Mull-Tokens——这是一种模态无关的潜在标记，经过预训练，可以在图像或文本模态中持有中间信息，让模型自由地思考，以得出正确答案。我们研究了受潜在推理框架启发的最佳实践来训练Mull-Tokens。我们首先使用交错文本-图像轨迹的监督来训练Mull-Tokens，然后仅使用最终答案进行微调，而不需要任何监督。在涉及解决谜题和从不同角度观察等任务的四个具有挑战性的空间推理基准测试中，我们证明了Mull-Tokens在仅使用文本推理或交错图像-文本推理的几个基线之上有所改进，平均提高了3%，在解决谜题的推理密集型部分比最强基线提高了高达16%。在围绕文本和视觉推理的扎根挑战的讨论中，Mull-Tokens提供了一个简单的方法，以抽象的方式在多个模态中进行思考。,阿利吉特·雷,2025/12/11,2025/12/11,,N/A,"['计算机视觉与模式识别', '人工智能']"
2512.10834v1,大脑活动的异速生长可以通过雪崩临界性来解释。,http://arxiv.org/abs/2512.10834v1,异速生长定律，如克雷伯定律对代谢率的描述，突出了效率如何在生物系统中随着规模的增大而出现。大脑以其特征性的次线性活动规模关系，长期以来一直是个谜：为什么更大的大脑在运作时具有不成比例的较低放电频率？在这里，我们表明这种规模经济是雪崩动力学的一个普遍结果。我们直接从雪崩统计中推导出分析性规模定律，确立任何受临界雪崩控制的系统都必须表现出次线性活动-规模关系。然后，这一理论预测在临界性的整合-放电神经元网络和经典的自组织临界性模型中得到验证，表明这种效应不是模型特定的，而是通用的。预测的指数与哺乳动物物种的实验观察结果一致，将动态临界性与大脑代谢的异速生长联系起来。我们的结果表明，雪崩临界性是大脑中克雷伯类规模的基本机制。,蒂亚戈·S·A·N·西莫埃斯,2025/12/11,2025/12/11,,N/A,['神经元与认知']
2512.10525v1,果蝇大脑中的并行神经元群,http://arxiv.org/abs/2512.10525v1,"成年果蝇的全连接组使得在昆虫大脑中寻找新的神经网络结构成为可能。我描述了一种新的神经网络结构，称为并行神经元群（PNG）。如果两个神经元共享大量输入神经元和输出神经元，则称它们为并行神经元。在果蝇大脑中，大多数神经元对的并行匹配度非常小。大约有二十个较大的神经元群，其中任何一对神经元都有很高的匹配度。这些就是并行群。并行群只包含大脑中65,000个神经元中的大约1000个，并且具有独特的特性。这些群存在于右侧蘑菇体、触角叶、叶状体以及两个中枢神经核（GNG和EB）中。大多数并行群不具有侧向对称性。一个群通常有一个主要输入神经元，它向群中的所有神经元输入，以及少量主要输出神经元。主要输入和输出神经元在侧向上是不对称的。并行神经元群提出了以下难题：一个群能做什么，一个较大的神经元无法做到？群中的所有神经元是否同步放电，还是它们执行不同的功能？为什么它们在侧向上不对称？这些问题可能值得进一步研究。",罗伯特·沃登,2025/12/11,2025/12/11,,N/A,['神经元与认知']
2512.10021v1,锥形运动是布鲁氏锥虫的鞭毛通过螺旋式摆动驱动的，并且由于其弯曲形状而得到促进。,http://arxiv.org/abs/2512.10021v1,在致病寄生虫锥虫属的锥虫中，一个横向附着的鞭毛驱动着复杂细胞体的快速变形，产生了令人困惑的动力学现象。高速去聚焦成像显示，表面点在横截面上描绘出类似花朵的图案。花瓣是由顺时针方向的鞭毛摆动产生的，它产生一个从前端沿身体传播的右手螺旋波，像扭曲的瓶塞一样推进细胞。中央的叶状结构是由较慢的逆时针身体旋转产生的，这是为了平衡活跃的扭矩。鞭毛下弯曲的细胞形状将这些两种手性运动叠加在不同的径向距离上，产生了观察到的图案。使用正则化斯托克斯子方法进行的三维流体动力学模拟再现了这些动力学现象，并显示弯曲的细胞形状增强了游泳，这表明锥虫属的形态具有适应性优势。,石泽诚,2025/12/10,2025/12/10,,N/A,"['生物物理学', '软凝聚物', '流体动力学']"
2512.09980v1,哈勃太空望远镜和詹姆斯·韦伯太空望远镜的紫外亮度函数：解决高红移星系丰度之谜的可能途径，以及对宇宙弦的启示,http://arxiv.org/abs/2512.09980v1,最近，詹姆斯·韦伯太空望远镜对高红移星系进行的观测表明，存在一个比大多数星系形成模型预测更为丰富的明亮星系群体。这些观测导致了对这些模型的重新思考，并提出了许多天体物理和宇宙学解决方案，包括宇宙弦、可能是宇宙早期特定相变残留的拓扑缺陷。在本文中，我们将宇宙弦——一种非线性非高斯扰动的来源——整合到半解析代码Zeus21中，使我们能够高效地预测紫外光亮度函数（UVLF）。我们精确研究了星系形成天体物理学与宇宙弦现象学之间的参数相关性。我们的结果表明，宇宙弦可以增加早期星系的丰度，足以解释从红移z = 4到z = 17的詹姆斯·韦伯和哈勃太空望远镜测量的紫外光亮度函数，而无需修改星系形成物理学。此外，我们设定了新的宇宙弦张力上限$Gμ\lessapprox 10^{-8}$（95%置信度），优于来自宇宙微波背景的先前限制。尽管当前数据存在一定程度的模型和先验依赖性，但它表明紫外光亮度函数是未来对宇宙弦物理进行观测约束的有希望的途径。,马泰奥·布兰马尔,2025/12/10,2025/12/10,,N/A,"['宇宙学与非规则天体物理学', '星系的天体物理学', '广义相对论和量子宇宙学', '高能物理-现象学', '高能物理理论']"
2512.09761v2,前额叶对奖励预测误差读出门的缩放，调节了灵长类动物由强化获得的适应性行为。,http://arxiv.org/abs/2512.09761v2,强化学习（RL）通过奖励预测误差（RPEs）使不同物种能够表现出适应性行为，但物种特异性适应性的神经起源尚不清楚。我们通过整合强化学习建模、转录组学和神经影像学在反转学习过程中的研究，发现了趋同的RPE特征——共享的单胺能/突触基因上调和神经解剖学表征，但人类在行为表现上优于猕猴。单次试验解码显示，RPEs在两种物种中指导选择的方式相似，但人类不成比例地招募了背侧前扣带回（dACC）和背外侧前额叶皮层（dlPFC）。跨物种对齐发现，猕猴的前额叶回路编码了类似人类的最佳RPEs，但无法将其转化为行动。适应性并非与RPE编码的准确性成比例，而是与控制RPE到行动转换的dACC/dlPFC招募的区域范围成比例。这些发现解决了一个进化之谜：行为表现差距源于执行皮层的读出效率，而非编码能力。,天桑,2025/12/10,2025/12/11,,N/A,['神经元与认知']
2512.09256v1,观察到的全宇宙电荷相关性和空穴掺杂kagome超导体中的隐藏量子临界点,http://arxiv.org/abs/2512.09256v1,超导性与电荷密度波（CDW）序之间的相互作用，以及它们随载流子密度的演变，是许多量子材料物理的核心，特别是高$T_c$铜氧化物和kagome金属。空穴掺杂的kagome化合物表现出令人困惑的双重穹顶超导性，由于化学取代不可避免地引入了淬火无序，它们的性质仍然理解不深。在这里，通过利用核四极共振对局部和静态序的敏感性，我们揭示了CsV$_3$Sb$_{5-x}$Sn$_x$电荷景观中的新特征，主要是萌芽的和分裂的CDW相。在远高于转变温度的地方观察到静态CDW液滴，这是由缺陷钉扎的标志。它们的掺杂和温度演变表明，在没有无序的情况下，逆大卫之星$π$位移（ISD-$π$）CDW序会在$x=0.12$附近消失，位于两个超导穹顶之间。这一临界掺杂代表了一个隐藏的量子临界点。尽管如此，ISD-$π$模式仍然持续存在，尽管其体积分数在达到饱和的临界掺杂点之前逐渐减少。我们确定，载流子掺杂促进了ISD-$π$序的分裂，而随机性则保留了ISD-$π$斑块。,伊利亚·K·尼古洛夫,2025/12/10,2025/12/10,,N/A,['强关联电子']
2512.09195v1,有限$V_{\rm 2Δ}$谜题来自低多重性pp碰撞中的超长程方位角相关性，基于弦推挤模型,http://arxiv.org/abs/2512.09195v1,最近，ALICE合作组在$\sqrt{s}=13$ TeV的pp碰撞中，报告了在${\rm d}N_{\rm ch}/{\rm d}η=7$以下超长程角相关性的测量结果。这些测量是按照中rapidity（$|η|<0.8$）处的带电粒子多重性（$N_{\rm ch}$）进行的，已知这一参数对局部多重性涨落非常敏感。本研究调查了事件活动估计器对超长程角相关性的影响。研究是在PYTHIA8框架内，采用弦推机制进行的，因为该机制给出了非零的椭圆流系数$V_{2Δ}$。分析是按照$N_{\rm ch}$、强子-强子散射次数（$N_{\rm mpi}$）和平坦性进行的。令人惊讶的是，对于超长程相关性，$N_{\rm mpi}=1$（双喷注）的pp碰撞似乎对弦推最为敏感。随着$N_{\rm mpi}$的增加，这种效应减弱。而在数据中，在不确定性的范围内，$V_{2Δ}$表现出弱的多重性依赖性；弦推机制给出的$V_{2Δ}$随着$N_{\rm ch}$的增加而减小。因此，本研究支持这样的观点：如弦推等机制可能解释低多重性极限，而在高多重性pp碰撞中，流体动力学变得相关。这项工作还表明，平坦性可能比$N_{\rm ch}$更有效地处理非流动效应。,安东尼奥·奥尔特斯,2025/12/9,2025/12/9,,N/A,['高能物理-现象学']
