Paper ID,Title,URL,Summary,First Author,Publish Date,Update Date,Code URL,Stars,Categories
2502.04330v1,几何挫折、幂律隧穿和非局域规范场来自散射光,http://arxiv.org/abs/2502.04330v1,设计量子系统中耦合的幅度和范围是探索大量量子力学效应的基本工具。在这里，我们考虑在几何形状分子云上的非共振光子散射过程。我们的分析表明，这样的设置可以通过玻色-哈伯德哈密顿量来正确建模，其中散射光子模式的隧穿过程的范围、幅度和符号可以精确调节。具体来说，通过改变分子分布，我们展示了可以实现具有几何反常、长程幂律跃迁过程和非局域规范场的不同配置。因此，我们的结果代表了一种强大且替代的方法，可以精确地对具有非平凡耦合结构的量子系统进行哈密顿量工程。,帕维尔·P·波波夫,2025-02-06,2025-02-06,,N/A,"['量子物理学', '量子气体']"
2502.04329v1,SMART：推进可扩展的地图先验技术，以提升驾驶拓扑推理能力,http://arxiv.org/abs/2502.04329v1,拓扑推理对于自动驾驶至关重要，因为它能够全面理解车道和交通元素之间的连接和关系。尽管最近的方法在利用车载传感器感知驾驶拓扑方面取得了成功，但它们的可扩展性受到对由一致传感器配置捕获的培训数据的依赖的限制。我们发现，可扩展的车道感知和拓扑推理的关键因素是消除这种传感器依赖的特征。为了解决这个问题，我们提出了SMART，这是一种可扩展的解决方案，它利用易于获取的标准定义（SD）和卫星地图来学习地图先验模型，并由独立于传感器设置的大规模地理参考高清（HD）地图进行监督。得益于缩放训练，SMART仅使用SD和卫星输入就实现了卓越的离线车道拓扑理解。广泛的实验进一步证明，SMART可以无缝集成到任何在线拓扑推理方法中，在OpenLane-V2基准测试中实现了高达28%的显著改进。,叶俊杰,2025-02-06,2025-02-06,,N/A,"['计算机视觉与模式识别', '机器人技术']"
2502.04328v1,Ola：通过渐进式模态对齐推动全模态语言模型的边界拓展,http://arxiv.org/abs/2502.04328v1,最近大型语言模型在GPT-4o之后的进步，尤其是对开发能够理解更多模态的全模态模型产生了越来越大的兴趣。尽管已经出现了一些开源替代方案，但在性能上仍然落后于专门的单一模态模型。在本文中，我们提出了Ola，这是一个在全模态语言理解方面与专业模型相比具有竞争力的全模态语言模型。Ola的核心设计在于其渐进式模态对齐策略，该策略逐步扩展语言模型的支持模态。我们的训练流程从最独特的模态开始：图像和文本，然后通过连接语言和音频知识的语音数据以及连接所有模态的视频数据，逐步扩展模型的能力。渐进式学习流程还使我们能够保持跨模态对齐数据的相对较小规模，使得从现有的视觉语言模型开发全模态模型变得容易且成本较低。此外，为了解锁类似GPT-4o的高级交互体验，我们进一步设计了一种基于句子的解码解决方案，用于流式语音生成。广泛的实验表明，Ola在所有模态上超过了现有的开源全模态LLM，同时与类似规模的顶尖专业模型相比，也实现了高度竞争力的性能。我们的目标是使Ola成为一个完全开源的全模态理解解决方案，以推动该新兴领域未来研究的发展。模型权重、代码和数据已在https://github.com/Ola-Omni/Ola上开源。,刘祖彦,2025-02-06,2025-02-06,,N/A,"['计算机视觉与模式识别', '计算与语言', '多媒体', '声音', '音频及语音处理', '图像和视频处理']"
2502.04327v1,基于价值的深度强化学习可预测地扩展,http://arxiv.org/abs/2502.04327v1,扩大数据和计算规模对于机器学习的成功至关重要。然而，扩大规模需要可预测性：我们希望方法不仅能在更多的计算或数据下表现良好，而且其性能可以从小规模运行中预测，而无需进行大规模实验。在这篇论文中，我们表明，基于价值的离线策略强化学习（RL）方法尽管有关于其病态行为的社区传说，但仍然是可预测的。首先，我们表明，达到特定性能水平所需的数据和计算需求位于帕累托前沿，该前沿由数据更新（UTD）比率控制。通过估计这个前沿，我们可以在给定更多计算时预测数据需求，在给定更多数据时预测计算需求。其次，我们确定在给定性能下，数据与计算之间总资源预算的最优分配，并使用它来确定最大化给定预算性能的超参数。第三，这种扩展行为是通过首先估计超参数之间的可预测关系来实现的，这被用来管理强化学习特有的过度拟合和塑性损失效应。我们使用三个算法：SAC、BRO和PQL在DeepMind Control、OpenAI Gym和Isaac Gym上验证了我们的方法，当外推到更高水平的数据、计算、预算或性能时。,奥列格·里布金,2025-02-06,2025-02-06,,N/A,['学习']
2502.04326v1,世界感知：评估多模态LLMs的跨模态现实世界理解,http://arxiv.org/abs/2502.04326v1,"在这篇论文中，我们介绍了WorldSense，这是第一个用于评估多模态视频理解的基准，它同时涵盖了视觉、音频和文本输入。与现有的基准相比，我们的WorldSense具有几个特点：（i）全模态协作，我们设计的评估任务强调音频和视频的强耦合，要求模型有效地利用全模态的协同感知；（ii）视频和任务的多样性，WorldSense包含了一个包含1,662个音频-视频同步视频的多样化集合，系统性地分为8个主要领域和67个细粒度子类别，以覆盖广泛的场景，以及26个不同任务中的3,172个多选题对，以实现全面评估；（iii）高质量的标注，所有问答对都由80位专家经过多轮校对手动标注，以确保质量。基于我们的WorldSense，我们对各种最先进的模型进行了广泛评估。实验结果表明，现有模型在理解现实场景方面面临重大挑战（最佳准确率为48.0%）。我们希望我们的WorldSense可以为评估从全模态构建和理解连贯情境的能力提供一个平台。",杰克·洪,2025-02-06,2025-02-06,,N/A,"['计算机视觉与模式识别', '人工智能']"
2502.04324v1,Grammarly和ChatGPT能否加速语言变化？人工智能技术及其对英语语言的影响：冗长与简洁,http://arxiv.org/abs/2502.04324v1,自然语言处理（NLP）驱动的语言技术、基于AI的自然语言生成模型，以及英语作为母语和非母语使用者之间主流的交流方式，使得AI工具输出的内容对语言学家来说特别引人入胜。本文探讨了Grammarly和ChatGPT如何影响英语语言中的冗长与简洁。通过一个聚焦于“为了”这一目的从属连词的案例研究，展示了Grammarly和ChatGPT如何推荐使用更简洁的语法结构，而不是更长更复杂的结构。尽管分析句子是由母语者产生的，完全正确，并且是从当代英语语料库中提取的，但Grammarly和ChatGPT甚至对于相对简短的句子也建议使用更简洁的表达，减少冗余。本文认为，像Grammarly这样的技术不仅反映了语言的变化，而且有潜力促进或加速这种变化。,卡罗琳娜·鲁德尼卡,2025-02-06,2025-02-06,,N/A,"['计算与语言', '电脑与社会']"
2502.04323v1,均匀旋转的蒙德里安核,http://arxiv.org/abs/2502.04323v1,首先由Rahimi和Recht提出，随机特征被用于降低大规模问题中核机计算成本。蒙德里安核就是这样一个例子，它是一种快速随机特征逼近拉普拉斯核，通过一种称为蒙德里安过程的计算高效分层随机划分输入空间来生成。在这项工作中，我们通过使用均匀随机旋转的蒙德里安过程来逼近一个在旋转下不变的核，研究了这种随机特征映射的一种变体。我们得到了这种各向同性核的闭式表达式，以及均匀旋转的蒙德里安核收敛到这个极限的均匀收敛率。为此，我们利用了随机几何中静态随机镶嵌理论的技术，并证明了关于均匀随机旋转的蒙德里安镶嵌典型单元几何的新结果。最后，我们在合成数据和真实世界数据集上测试了这种随机特征映射的实证性能，证明了它在去偏数据集上相对于蒙德里安核的性能提升。,卡尔文·奥斯本,2025-02-06,2025-02-06,,N/A,"['学习', '概率']"
2502.04321v1,句子长度随时间和体裁的变化,http://arxiv.org/abs/2502.04321v1,本文的目标有三点：一是介绍使用《美国历史英语语料库》（COHA）全文版的一些实际应用方面，该语料库是英语语言中最大的历时性多体裁语料库，用于研究语言变化趋势；二是检验一个广泛存在的假设，即过去几个世纪以来，书面英语的句子长度一直在稳步下降；三是指出句子长度变化与英语句法用法变化之间可能存在的联系。对于第三点，通过非限定性目的从属连词“为了”的频率下降来提供概念实证。研究表明，句子长度、体裁以及“为了”出现的可能性是相互关联的。,卡罗琳娜·鲁德尼卡,2025-02-06,2025-02-06,,N/A,['计算与语言']
2502.04322v1,《轻松说话：通过简单交互诱使LLMs产生有害越狱》,http://arxiv.org/abs/2502.04322v1,尽管进行了广泛的安全对齐努力，大型语言模型（LLMs）仍然容易受到越狱攻击，这些攻击会引发有害行为。虽然现有研究主要关注需要技术专长的攻击方法，但有两个关键问题尚未得到充分探索：（1）越狱后的响应是否真正有助于普通用户执行有害行为？（2）在更常见、更简单的人-LLM交互中是否存在安全漏洞？在本文中，我们证明当LLM的响应既可操作又具有信息性时，它们最有效地促进有害行为，这两种属性在多步骤、多语言交互中很容易引发。利用这一洞察，我们提出了HarmScore，这是一种越狱指标，用于衡量LLM响应使有害行为得以有效执行的程度，以及Speak Easy，一个简单的多步骤、多语言攻击框架。值得注意的是，通过将Speak Easy纳入直接请求和越狱基线，我们在四个安全基准测试中观察到，在开源和专有LLMs中，攻击成功率平均绝对提高了0.319，HarmScore提高了0.426。我们的工作揭示了一个关键但往往被忽视的漏洞：恶意用户可以轻易利用常见的交互模式来实现有害目的。,叶少娴,2025-02-06,2025-02-06,,N/A,"['学习', '人工智能', '计算与语言', '电脑与社会']"
2502.04320v1,概念注意：扩散Transformer学习高度可解释的特征,http://arxiv.org/abs/2502.04320v1,多模态扩散变换器（DiT）的丰富表示是否展现出独特的性质，从而增强了它们的可解释性？我们引入了ConceptAttention，这是一种新颖的方法，它利用DiT注意力层的表达能力来生成高质量的关注图，精确地定位图像中的文本概念。无需额外训练，ConceptAttention重新利用DiT注意力层的参数，产生高度情境化的概念嵌入，这一主要发现是：在DiT注意力层的输出空间中进行线性投影，与常用的交叉注意力机制相比，可以产生显著更锐利的感觉图。令人惊讶的是，ConceptAttention甚至在零样本图像分割基准测试中实现了最先进的性能，在ImageNet-Segmentation数据集和Pascal VOC的单类子集上，超过了11种其他零样本可解释性方法。我们的工作为第一个证据，表明像Flux这样的多模态DiT模型的表示在视觉任务如分割中具有高度的可迁移性，甚至超过了像CLIP这样的多模态基础模型。,亚历克·赫尔布林格,2025-02-06,2025-02-06,,N/A,"['计算机视觉与模式识别', '学习']"
