Paper ID,Title,URL,Summary,First Author,Publish Date,Update Date,Code URL,Stars,Categories
2508.06623v1,ContextGuard-LVLM: Enhancing News Veracity through Fine-grained Cross-modal Contextual Consistency Verification,http://arxiv.org/abs/2508.06623v1,"The proliferation of digital news media necessitates robust methods forverifying content veracity, particularly regarding the consistency betweenvisual and textual information. Traditional approaches often fall short inaddressing the fine-grained cross-modal contextual consistency (FCCC) problem,which encompasses deeper alignment of visual narrative, emotional tone, andbackground information with text, beyond mere entity matching. To address this,we propose ContextGuard-LVLM, a novel framework built upon advancedVision-Language Large Models (LVLMs) and integrating a multi-stage contextualreasoning mechanism. Our model is uniquely enhanced through reinforced oradversarial learning paradigms, enabling it to detect subtle contextualmisalignments that evade zero-shot baselines. We extend and augment threeestablished datasets (TamperedNews-Ent, News400-Ent, MMG-Ent) with newfine-grained contextual annotations, including ""contextual sentiment,"" ""visualnarrative theme,"" and ""scene-event logical coherence,"" and introduce acomprehensive CTXT (Contextual Coherence) entity type. Extensive experimentsdemonstrate that ContextGuard-LVLM consistently outperforms state-of-the-artzero-shot LVLM baselines (InstructBLIP and LLaVA 1.5) across nearly allfine-grained consistency tasks, showing significant improvements in complexlogical reasoning and nuanced contextual understanding. Furthermore, our modelexhibits superior robustness to subtle perturbations and a higher agreementrate with human expert judgments on challenging samples, affirming its efficacyin discerning sophisticated forms of context detachment.",Sihan Ma,2025/8/8,2025/8/8,,,['cs.CV']
2508.04163v1,Generic-to-Specific Reasoning and Learning for Scalable Ad Hoc Teamwork,http://arxiv.org/abs/2508.04163v1,"AI agents deployed in assistive roles often have to collaborate with otheragents (humans, AI systems) without prior coordination. Methods consideredstate of the art for such ad hoc teamwork often pursue a data-driven approachthat needs a large labeled dataset of prior observations, lacks transparency,and makes it difficult to rapidly revise existing knowledge in response tochanges. As the number of agents increases, the complexity of decision-makingmakes it difficult to collaborate effectively. This paper advocates leveragingthe complementary strengths of knowledge-based and data-driven methods forreasoning and learning for ad hoc teamwork. For any given goal, ourarchitecture enables each ad hoc agent to determine its actions throughnon-monotonic logical reasoning with: (a) prior commonsense domain-specificknowledge; (b) models learned and revised rapidly to predict the behavior ofother agents; and (c) anticipated abstract future goals based on genericknowledge of similar situations in an existing foundation model. Weexperimentally evaluate our architecture's capabilities in VirtualHome, arealistic physics-based 3D simulation environment.",Hasra Dodampegama,2025/8/6,2025/8/6,,,"['cs.AI', 'cs.LO', 'cs.MA']"
2507.23541v2,Med-R$^3$: Enhancing Medical Retrieval-Augmented Reasoning of LLMs via Progressive Reinforcement Learning,http://arxiv.org/abs/2507.23541v2,"In medical scenarios, effectively retrieving external knowledge andleveraging it for rigorous logical reasoning is of significant importance.Despite their potential, existing work has predominantly focused on enhancingeither retrieval or reasoning capabilities of the models in isolation, withlittle attention given to their joint optimization, which leads to limitedcoordination between the two processes. Additionally, current methods relyheavily on supervised fine-tuning (SFT), which can cause models to memorizeexisting problem-solving pathways, thereby restricting their generalizationability when confronted with novel problem contexts. Furthermore, while somestudies have explored to improve retrieval-augmented reasoning in generaldomains via reinforcement learning, their reward function designs do notadequately capture the specific demands of the medical domain. To address thesechallenges, we introduce **Med-R$^3$**, a **Med**ical **R**etrieval-augmented**R**easoning framework driven by progressive **R**einforcement learning. Inthis framework, we first develop the model's ability to perform logicalreasoning over medical problems. Subsequently, on the basis of this foundation,we adaptively optimize the retrieval capability to better align with thecharacteristics of knowledge corpus and external information utilizationthroughout the reasoning process. Finally, we conduct joint optimization of themodel's retrieval and reasoning coordination. Extensive experiments indicatethat **Med-R$^3$** could achieve state-of-the-art performances, withLLaMA3.1-8B-Instruct + Med-R$^3$ surpassing closed-sourced GPT-4o-mini by3.93\% at a comparable parameter scale, while Qwen2.5-14B augmented withMed-R$^3$ shows a more substantial gain of 13.53\%.",Keer Lu,2025/7/31,2025/8/2,,,['cs.CL']
2507.20999v1,LoRA-PAR: A Flexible Dual-System LoRA Partitioning Approach to Efficient LLM Fine-Tuning,http://arxiv.org/abs/2507.20999v1,"Large-scale generative models like DeepSeek-R1 and OpenAI-O1 benefitsubstantially from chain-of-thought (CoT) reasoning, yet pushing theirperformance typically requires vast data, large model sizes, and full-parameterfine-tuning. While parameter-efficient fine-tuning (PEFT) helps reduce cost,most existing approaches primarily address domain adaptation or layer-wiseallocation rather than explicitly tailoring data and parameters to differentresponse demands. Inspired by ""Thinking, Fast and Slow,"" which characterizestwo distinct modes of thought-System 1 (fast, intuitive, often automatic) andSystem 2 (slower, more deliberative and analytic)-we draw an analogy thatdifferent ""subregions"" of an LLM's parameters might similarly specialize fortasks that demand quick, intuitive responses versus those requiring multi-steplogical reasoning. Therefore, we propose LoRA-PAR, a dual-system LoRA frameworkthat partitions both data and parameters by System 1 or System 2 demands, usingfewer yet more focused parameters for each task. Specifically, we classify taskdata via multi-model role-playing and voting, and partition parameters based onimportance scoring, then adopt a two-stage fine-tuning strategy of trainingSystem 1 tasks with supervised fine-tuning (SFT) to enhance knowledge andintuition and refine System 2 tasks with reinforcement learning (RL) toreinforce deeper logical deliberation next. Extensive experiments show that thetwo-stage fine-tuning strategy, SFT and RL, lowers active parameter usage whilematching or surpassing SOTA PEFT baselines.",Yining Huang,2025/7/28,2025/7/28,,,"['cs.LG', 'cs.CL']"
2507.20960v1,On the Limits of Hierarchically Embedded Logic in Classical Neural Networks,http://arxiv.org/abs/2507.20960v1,"We propose a formal model of reasoning limitations in large neural net modelsfor language, grounded in the depth of their neural architecture. By treatingneural networks as linear operators over logic predicate space we show thateach layer can encode at most one additional level of logical reasoning. Weprove that a neural network of depth a particular depth cannot faithfullyrepresent predicates in a one higher order logic, such as simple counting overcomplex predicates, implying a strict upper bound on logical expressiveness.This structure induces a nontrivial null space during tokenization andembedding, excluding higher-order predicates from representability. Ourframework offers a natural explanation for phenomena such as hallucination,repetition, and limited planning, while also providing a foundation forunderstanding how approximations to higher-order logic may emerge. Theseresults motivate architectural extensions and interpretability strategies infuture development of language models.",Bill Cochran,2025/7/28,2025/7/28,,,['cs.AI']
2507.20529v1,Enhancing Spatial Reasoning through Visual and Textual Thinking,http://arxiv.org/abs/2507.20529v1,"The spatial reasoning task aims to reason about the spatial relationships in2D and 3D space, which is a fundamental capability for Visual QuestionAnswering (VQA) and robotics. Although vision language models (VLMs) havedeveloped rapidly in recent years, they are still struggling with the spatialreasoning task. In this paper, we introduce a method that can enhance Spatialreasoning through Visual and Textual thinking Simultaneously (SpatialVTS). Inthe spatial visual thinking phase, our model is trained to generatelocation-related specific tokens of essential targets automatically. Not onlyare the objects mentioned in the problem addressed, but also the potentialobjects related to the reasoning are considered. During the spatial textualthinking phase, Our model conducts long-term thinking based on visual cues anddialogues, gradually inferring the answers to spatial reasoning problems. Toeffectively support the model's training, we perform manual corrections to theexisting spatial reasoning dataset, eliminating numerous incorrect labelsresulting from automatic annotation, restructuring the data input format toenhance generalization ability, and developing thinking processes with logicalreasoning details. Without introducing additional information (such as masks ordepth), our model's overall average level in several spatial understandingtasks has significantly improved compared with other models.",Xun Liang,2025/7/28,2025/7/28,,,"['cs.CV', 'cs.AI']"
2507.19992v1,NIRS: An Ontology for Non-Invasive Respiratory Support in Acute Care,http://arxiv.org/abs/2507.19992v1,"Objective: Develop a Non Invasive Respiratory Support (NIRS) ontology tosupport knowledge representation in acute care settings.  Materials and Methods: We developed the NIRS ontology using Web OntologyLanguage (OWL) semantics and Protege to organize clinical concepts andrelationships. To enable rule-based clinical reasoning beyond hierarchicalstructures, we added Semantic Web Rule Language (SWRL) rules. We evaluatedlogical reasoning by adding 17 hypothetical patient clinical scenarios. We usedSPARQL queries and data from the Electronic Intensive Care Unit (eICU)Collaborative Research Database to retrieve and test targeted inferences.  Results: The ontology has 132 classes, 12 object properties, and 17 dataproperties across 882 axioms that establish concept relationships. Tostandardize clinical concepts, we added 350 annotations, including descriptivedefinitions based on controlled vocabularies. SPARQL queries successfullyvalidated all test cases (rules) by retrieving appropriate patient outcomes,for instance, a patient treated with HFNC (high-flow nasal cannula) for 2 hoursdue to acute respiratory failure may avoid endotracheal intubation.  Discussion: The NIRS ontology formally represents domain-specific concepts,including ventilation modalities, patient characteristics, therapy parameters,and outcomes. SPARQL query evaluations on clinical scenarios confirmed theability of the ontology to support rule based reasoning and therapyrecommendations, providing a foundation for consistent documentation practices,integration into clinical data models, and advanced analysis of NIRS outcomes.  Conclusion: We unified NIRS concepts into an ontological framework anddemonstrated its applicability through the evaluation of hypothetical patientscenarios and alignment with standardized vocabularies.",Md Fantacher Islam,2025/7/26,2025/7/26,,,"['q-bio.OT', 'cs.AI']"
2507.22933v1,Augmented Vision-Language Models: A Systematic Review,http://arxiv.org/abs/2507.22933v1,"Recent advances in visual-language machine learning models have demonstratedexceptional ability to use natural language and understand visual scenes bytraining on large, unstructured datasets. However, this training paradigmcannot produce interpretable explanations for its outputs, requires retrainingto integrate new information, is highly resource-intensive, and struggles withcertain forms of logical reasoning. One promising solution involves integratingneural networks with external symbolic information systems, forming neuralsymbolic systems that can enhance reasoning and memory abilities. These neuralsymbolic systems provide more interpretable explanations to their outputs andthe capacity to assimilate new information without extensive retraining.Utilizing powerful pre-trained Vision-Language Models (VLMs) as the core neuralcomponent, augmented by external systems, offers a pragmatic approach torealizing the benefits of neural-symbolic integration. This systematicliterature review aims to categorize techniques through which visual-languageunderstanding can be improved by interacting with external symbolic informationsystems.",Anthony C Davis,2025/7/24,2025/7/24,,,"['cs.CL', 'cs.AI']"
2507.17512v1,Can One Domain Help Others? A Data-Centric Study on Multi-Domain Reasoning via Reinforcement Learning,http://arxiv.org/abs/2507.17512v1,"Reinforcement Learning with Verifiable Rewards (RLVR) has emerged as apowerful paradigm for enhancing the reasoning capabilities of LLMs. Existingresearch has predominantly concentrated on isolated reasoning domains such asmathematical problem-solving, coding tasks, or logical reasoning. However, realworld reasoning scenarios inherently demand an integrated application ofmultiple cognitive skills. Despite this, the interplay among these reasoningskills under reinforcement learning remains poorly understood. To bridge thisgap, we present a systematic investigation of multi-domain reasoning within theRLVR framework, explicitly focusing on three primary domains: mathematicalreasoning, code generation, and logical puzzle solving. We conduct acomprehensive study comprising four key components: (1) Leveraging the GRPOalgorithm and the Qwen-2.5-7B model family, our study thoroughly evaluates themodels' in-domain improvements and cross-domain generalization capabilitieswhen trained on single-domain datasets. (2) Additionally, we examine theintricate interactions including mutual enhancements and conflicts that emergeduring combined cross-domain training. (3) To further understand the influenceof SFT on RL, we also analyze and compare performance differences between baseand instruct models under identical RL configurations. (4) Furthermore, wedelve into critical RL training details, systematically exploring the impactsof curriculum learning strategies, variations in reward design, andlanguage-specific factors. Through extensive experiments, our results offersignificant insights into the dynamics governing domain interactions, revealingkey factors influencing both specialized and generalizable reasoningperformance. These findings provide valuable guidance for optimizing RLmethodologies to foster comprehensive, multi-domain reasoning capabilities inLLMs.",Yu Li,2025/7/23,2025/7/23,,,"['cs.AI', 'cs.LG']"
2507.07498v2,Teaching LLM to Reason: Reinforcement Learning from Algorithmic Problems without Code,http://arxiv.org/abs/2507.07498v2,"Enhancing reasoning capabilities remains a central focus in the LLM reasearchcommunity. A promising direction involves requiring models to simulate codeexecution step-by-step to derive outputs for given inputs. However, as code isoften designed for large-scale systems, direct application leads toover-reliance on complex data structures and algorithms, even for simple cases,resulting in overfitting to algorithmic patterns rather than core reasoningstructures. To address this, we propose TeaR, which aims at teaching LLMs toreason better. TeaR leverages careful data curation and reinforcement learningto guide models in discovering optimal reasoning paths through code-relatedtasks, thereby improving general reasoning abilities. We conduct extensiveexperiments using two base models and three long-CoT distillation models, withmodel sizes ranging from 1.5 billion to 32 billion parameters, and across 17benchmarks spanning Math, Knowledge, Code, and Logical Reasoning. The resultsconsistently show significant performance improvements. Notably, TeaR achievesa 35.9% improvement on Qwen2.5-7B and 5.9% on R1-Distilled-7B.",Keqin Bao,2025/7/10,2025/7/14,,,"['cs.CL', 'cs.LG']"
