Paper ID,Title,URL,Summary,First Author,Publish Date,Update Date,Code URL,Stars,Categories
2508.06623v1,ContextGuard-LVLM：通过细粒度跨模态上下文一致性验证增强新闻真实性,http://arxiv.org/abs/2508.06623v1,数字新闻媒体的激增需要强有力的方法来验证内容的真实性，尤其是在视觉信息和文本信息之间的一致性方面。传统的做法往往无法充分解决细粒度跨模态上下文一致性（FCCC）问题，这涉及到视觉叙事、情感基调以及背景信息与文本的更深层次对齐，而不仅仅是实体匹配。为了解决这个问题，我们提出了ContextGuard-LVLM，这是一个基于高级视觉-语言大型模型（LVLM）并集成了多阶段上下文推理机制的全新框架。我们的模型通过强化或对抗学习范式得到了独特增强，使其能够检测那些逃避零样本基线的微妙上下文不匹配。我们将三个已建立的语料库（TamperedNews-Ent、News400-Ent、MMG-Ent）扩展并增强，加入了新的细粒度上下文注释，包括“上下文情感”、“视觉叙事主题”和“场景-事件逻辑连贯性”，并引入了一个全面的CTXT（上下文一致性）实体类型。大量的实验表明，ContextGuard-LVLM在几乎所有细粒度一致性任务中，都持续优于最先进的零样本LVLM基线（InstructBLIP和LLaVA 1.5），在复杂逻辑推理和微妙上下文理解方面取得了显著进步。此外，我们的模型对细微的扰动表现出更高的鲁棒性，并且在挑战性样本上与人类专家判断的吻合度更高，这证实了它在辨别复杂形式的上下文分离方面的有效性。,这是一个人名，英文直译成中文就是“希翰·玛”。不过，根据汉语人名的习惯，可能更倾向于译作“西韩玛”或者“西汗·玛”。具体译法可能需要结合上下文来确定。,2025/8/8,2025/8/8,,,['cs.CV']
2508.04163v1,通用到特定推理与学习，以实现可扩展的临时团队协作,http://arxiv.org/abs/2508.04163v1,在辅助角色中部署的AI代理通常需要在事先没有协调的情况下与其他代理（人类、AI系统）进行协作。对于这种临时团队合作的最佳方法，通常追求一种数据驱动的方法，这种方法需要大量已标记的先前观察数据集，缺乏透明度，并且难以快速修订现有知识以应对变化。随着代理数量的增加，决策的复杂性使得有效协作变得困难。本文主张利用基于知识和数据驱动方法的互补优势，以实现推理和学习。对于任何既定目标，我们的架构使每个临时代理能够通过非单调逻辑推理来确定其行为：（a）先前的常识领域特定知识；（b）快速学习和修订的模型，以预测其他代理的行为；（c）基于现有基础模型中类似情况的一般知识所预期的抽象未来目标。我们通过在虚拟家庭（一个基于现实物理的3D模拟环境）中进行了实验，评估了我们架构的能力。,哈莎·多达梅帕伽马,2025/8/6,2025/8/6,,,"['cs.AI', 'cs.LO', 'cs.MA']"
2507.23541v2,Med-R$^3$：通过渐进式强化学习增强LLMs的医学检索增强推理,http://arxiv.org/abs/2507.23541v2,在医疗场景中，有效地检索外部知识并利用它进行严格的逻辑推理具有重大意义。尽管现有工作具有潜力，但主要集中于独立增强模型的检索或推理能力，而对两者联合优化的关注较少，导致这两个过程之间的协调性有限。此外，当前方法高度依赖监督微调（SFT），这可能导致模型记住现有的解决问题的路径，从而限制了它们在面对新颖问题情境时的泛化能力。此外，尽管一些研究通过强化学习探索了改进通用领域的检索增强推理，但它们的奖励函数设计并没有充分捕捉到医疗领域的特定需求。为了解决这些挑战，我们引入了**Med-R$^3$**，这是一个由渐进式**R**增强学习驱动的**Med**医疗**R**etrieval-augmented**R**easoning框架。在这个框架中，我们首先开发模型在医疗问题上进行逻辑推理的能力。随后，在此基础上，我们自适应地优化检索能力，以更好地适应知识库和外部信息在整个推理过程中的利用特点。最后，我们对模型的检索和推理协调进行联合优化。大量实验表明，**Med-R$^3$**能够达到最先进的性能，其中LLaMA3.1-8B-Instruct + Med-R$^3$在可比参数规模下超过了闭源GPT-4o-mini，提高了3.93%，而Qwen2.5-14B增强后使用Med-R$^3$的增益更为显著，达到了13.53%。,库尔·鲁,2025/7/31,2025/8/2,,,['cs.CL']
2507.20999v1,LoRA-PAR：一种灵活的双系统LoRA分区方法，用于高效地进行大型语言模型微调,http://arxiv.org/abs/2507.20999v1,像DeepSeek-R1和OpenAI-O1这样的大规模生成模型，从思维链（CoT）推理中受益匪浅，但要推动它们的性能，通常需要大量数据、大型模型尺寸以及全面参数微调。尽管参数高效微调（PEFT）有助于降低成本，但大多数现有方法主要关注领域自适应或分层分配，而不是明确地根据不同的响应需求调整数据和参数。受到《思考，快与慢》的启发，该书描述了两种不同的思维模式——系统1（快速、直觉、通常自动）和系统2（较慢、更深思熟虑且分析性）——我们进行了类比，即LLM参数的不同“子区域”可能同样会专门针对需要快速、直觉性回应的任务以及需要多步逻辑推理的任务。因此，我们提出了LoRA-PAR，这是一种双系统LoRA框架，根据系统1或系统2的需求将数据和参数进行分区，使用较少但更专注于每个任务的参数。具体来说，我们通过多模型角色扮演和投票来分类任务数据，并根据重要性评分来分区参数，然后采用两阶段微调策略：使用监督微调（SFT）训练系统1任务以增强知识和直觉，并通过强化学习（RL）来精细化训练系统2任务，以强化更深入的逻辑深思熟虑。广泛的实验表明，两阶段微调策略（SFT和RL）在降低活动参数使用量的同时，匹配或超越了最先进的PEFT基准。,黄寅宁,2025/7/28,2025/7/28,,,"['cs.LG', 'cs.CL']"
2507.20960v1,《经典神经网络中层次嵌套逻辑的限制》,http://arxiv.org/abs/2507.20960v1,我们提出了一种针对大型神经网络模型在语言推理中的局限性形式化模型，该模型基于其神经网络结构的深度。通过将神经网络视为逻辑谓词空间上的线性算子，我们表明每一层最多只能编码一个额外的逻辑推理层次。我们证明了特定深度的神经网络无法忠实表示一阶逻辑以上的谓词，例如在复杂谓词上的简单计数，这暗示了逻辑表达能力的严格上限。这种结构在分词和嵌入过程中诱导出一个非平凡的零空间，排除了高阶谓词的可表示性。我们的框架为诸如幻觉、重复和有限规划等现象提供了自然的解释，同时也为理解高阶逻辑近似可能如何出现提供了基础。这些结果激励了在语言模型未来发展中进行架构扩展和可解释性策略。,比尔·科克伦,2025/7/28,2025/7/28,,,['cs.AI']
2507.20529v1,通过视觉和文本思维提升空间推理能力,http://arxiv.org/abs/2507.20529v1,空间推理任务旨在对2D和3D空间中的空间关系进行推理，这是视觉问答（VQA）和机器人技术的基本能力。尽管近年来视觉语言模型（VLMs）发展迅速，但它们在空间推理任务上仍然面临挑战。在这篇论文中，我们介绍了一种通过同时进行视觉和文本思考来增强空间推理的方法（简称SpatialVTS）。在空间视觉思考阶段，我们的模型被训练来自动生成关键目标与位置相关的特定标记。不仅解决了问题中提到的物体，还考虑了与推理相关的潜在物体。在空间文本思考阶段，我们的模型基于视觉提示和对话进行长期思考，逐步推断出空间推理问题的答案。为了有效地支持模型的训练，我们对现有的空间推理数据集进行了人工校正，消除了自动标注产生的众多错误标签，重新构建了数据输入格式以增强泛化能力，并开发了具有逻辑推理细节的思考过程。在不引入额外信息（如遮罩或深度信息）的情况下，我们模型在几个空间理解任务中的整体平均表现相较于其他模型有显著提升。,寻良,2025/7/28,2025/7/28,,,"['cs.CV', 'cs.AI']"
2507.19992v1,NIRS：急性护理中非侵入性呼吸支持的本体论,http://arxiv.org/abs/2507.19992v1,目标：开发一种非侵入性呼吸支持（NIRS）本体，以支持急性护理环境中的知识表示。材料和方法：我们使用Web本体语言（OWL）语义和Protege来组织临床概念和关系，开发了NIRS本体。为了使基于规则的临床推理超越层次结构，我们添加了语义网规则语言（SWRL）规则。通过添加17个假设患者的临床场景来评估逻辑推理。我们使用SPARQL查询和电子重症监护单元（eICU）协作研究数据库中的数据来检索和测试目标推理。结果：该本体包含132个类、12个对象属性和17个数据属性，共有882个公理建立了概念关系。为了标准化临床概念，我们添加了350个注释，包括基于受控词汇的描述性定义。SPARQL查询成功验证了所有测试案例（规则），通过检索适当的患者结果，例如，由于急性呼吸衰竭而接受2小时高流量鼻导管（HFNC）治疗的患者可能避免气管插管。讨论：NIRS本体正式表示了特定领域的概念，包括通气方式、患者特征、治疗参数和结果。对临床场景的SPARQL查询评估证实了本体支持基于规则的推理和治疗建议的能力，为一致的记录实践、临床数据模型的集成和NIRS结果的深入分析提供了基础。结论：我们将NIRS概念统一到本体框架中，并通过评估假设患者场景和与标准化词汇的协调来证明其适用性。,法恩彻·伊斯拉姆先生,2025/7/26,2025/7/26,,,"['q-bio.OT', 'cs.AI']"
2507.22933v1,增强视觉-语言模型：系统综述,http://arxiv.org/abs/2507.22933v1,视觉语言机器学习模型在最近取得的进展展示了其利用自然语言理解和视觉场景的非凡能力，这得益于在大规模非结构化数据集上的训练。然而，这种训练模式无法产生其输出的可解释性解释，需要重新训练以整合新信息，资源消耗巨大，并且在某些形式的逻辑推理方面存在困难。一种有前景的解决方案是将神经网络与外部符号信息系统相结合，形成能够增强推理和记忆能力的神经符号系统。这些神经符号系统为其输出提供了更多可解释的解释，并能够在不进行大规模重新训练的情况下吸收新信息。利用强大的预训练视觉语言模型（VLMs）作为核心神经网络组件，并辅以外部系统，提供了一种实现神经符号集成优势的实用方法。本系统文献综述旨在分类通过与其他外部符号信息系统交互来改善视觉语言理解的技术。,安东尼·C·戴维斯,2025/7/24,2025/7/24,,,"['cs.CL', 'cs.AI']"
2507.17512v1,一个域名能帮助其他域名吗？基于强化学习在多域名推理中的数据驱动研究,http://arxiv.org/abs/2507.17512v1,可验证奖励强化学习（RLVR）已成为提升大型语言模型（LLM）推理能力的一种强大范式。现有研究主要集中在诸如数学问题解决、编码任务或逻辑推理等孤立的推理领域。然而，现实世界的推理场景本质上需要多种认知技能的综合应用。尽管如此，在强化学习中这些推理技能之间的相互作用仍然理解不足。为了弥合这一差距，我们系统地调查了RLVR框架内的多领域推理，明确关注三个主要领域：数学推理、代码生成和逻辑谜题解决。我们进行了一项包含四个关键组成部分的全面研究：（1）利用GRPO算法和Qwen-2.5-7B模型系列，我们的研究全面评估了在单领域数据集上训练的模型在领域内改进和跨领域泛化能力。（2）此外，我们还考察了在跨领域训练中出现的复杂交互，包括相互增强和冲突。（3）为了进一步了解强化学习（RL）的影响，我们还分析了在相同的RL配置下，基于基础模型和指令模型的性能差异。（4）此外，我们深入探讨了关键的RL训练细节，系统地探索了课程学习策略、奖励设计变化和语言特定因素的影响。通过大量实验，我们的结果为支配领域交互动态提供了重要的见解，揭示了影响专业化和可泛化推理性能的关键因素。这些发现为优化RL方法以培养LLM的全面、多领域推理能力提供了宝贵的指导。,余丽,2025/7/23,2025/7/23,,,"['cs.AI', 'cs.LG']"
2507.07498v2,《教学大型语言模型进行推理：无需代码的算法问题强化学习》,http://arxiv.org/abs/2507.07498v2,提升推理能力一直是LLM（大型语言模型）研究社区的核心关注点。一个有前景的方向是要求模型逐步模拟代码执行过程，以对给定的输入推导出输出。然而，由于代码通常是为大型系统设计的，直接应用会导致过度依赖复杂的数据结构和算法，即使是简单的情况也会如此，从而导致过度拟合算法模式而非核心推理结构。为了解决这个问题，我们提出了TeaR，旨在教会LLM更好地进行推理。TeaR利用精心整理的数据和强化学习来引导模型通过代码相关任务发现最优推理路径，从而提高一般推理能力。我们使用两种基础模型和三种长CoT蒸馏模型进行了广泛的实验，模型规模从15亿到320亿参数不等，并在涵盖数学、知识、代码和逻辑推理的17个基准测试中进行了测试。结果显示，性能显著提升。值得注意的是，TeaR在Qwen2.5-7B上实现了35.9%的改进，在R1-Distilled-7B上实现了5.9%的改进。,鲍克勤,2025/7/10,2025/7/14,,,"['cs.CL', 'cs.LG']"
