Paper ID,Title,URL,Summary,First Author,Publish Date,Update Date,Code URL,Stars,Categories
2508.10358v1,What to Ask Next? Probing the Imaginative Reasoning of LLMs with TurtleSoup Puzzles,http://arxiv.org/abs/2508.10358v1,"We investigate the capacity of Large Language Models (LLMs) for imaginativereasoning--the proactive construction, testing, and revision of hypotheses ininformation-sparse environments. Existing benchmarks, often static or focusedon social deduction, fail to capture the dynamic, exploratory nature of thisreasoning process. To address this gap, we introduce a comprehensive researchframework based on the classic ""Turtle Soup"" game, integrating a benchmark, anagent, and an evaluation protocol. We present TurtleSoup-Bench, the firstlarge-scale, bilingual, interactive benchmark for imaginative reasoning,comprising 800 turtle soup puzzles sourced from both the Internet and expertauthors. We also propose Mosaic-Agent, a novel agent designed to assess LLMs'performance in this setting. To evaluate reasoning quality, we develop amulti-dimensional protocol measuring logical consistency, detail completion,and conclusion alignment. Experiments with leading LLMs reveal clear capabilitylimits, common failure patterns, and a significant performance gap compared tohumans. Our work offers new insights into LLMs' imaginative reasoning andestablishes a foundation for future research on exploratory agent behavior.",Mengtao Zhou,2025/8/14,2025/8/14,,N/A,['cs.AI']
2508.10142v1,Multi-Turn Puzzles: Evaluating Interactive Reasoning and Strategic Dialogue in LLMs,http://arxiv.org/abs/2508.10142v1,"Large language models (LLMs) excel at solving problems with clear andcomplete statements, but often struggle with nuanced environments orinteractive tasks which are common in most real-world scenarios. Thishighlights the critical need for developing LLMs that can effectively engage inlogically consistent multi-turn dialogue, seek information and reason withincomplete data. To this end, we introduce a novel benchmark comprising a suiteof multi-turn tasks each designed to test specific reasoning, interactivedialogue, and information-seeking abilities. These tasks have deterministicscoring mechanisms, thus eliminating the need for human intervention.Evaluating frontier models on our benchmark reveals significant headroom. Ouranalysis shows that most errors emerge from poor instruction following,reasoning failures, and poor planning. This benchmark provides valuableinsights into the strengths and weaknesses of current LLMs in handling complex,interactive scenarios and offers a robust platform for future research aimed atimproving these critical capabilities.",Kartikeya Badola,2025/8/13,2025/8/13,,N/A,['cs.CL']
2508.01306v1,PUZZLED: Jailbreaking LLMs through Word-Based Puzzles,http://arxiv.org/abs/2508.01306v1,"As large language models (LLMs) are increasingly deployed across diversedomains, ensuring their safety has become a critical concern. In response,studies on jailbreak attacks have been actively growing. Existing approachestypically rely on iterative prompt engineering or semantic transformations ofharmful instructions to evade detection. In this work, we introduce PUZZLED, anovel jailbreak method that leverages the LLM's reasoning capabilities. Itmasks keywords in a harmful instruction and presents them as word puzzles forthe LLM to solve. We design three puzzle types-word search, anagram, andcrossword-that are familiar to humans but cognitively demanding for LLMs. Themodel must solve the puzzle to uncover the masked words and then proceed togenerate responses to the reconstructed harmful instruction. We evaluatePUZZLED on five state-of-the-art LLMs and observe a high average attack successrate (ASR) of 88.8%, specifically 96.5% on GPT-4.1 and 92.3% on Claude 3.7Sonnet. PUZZLED is a simple yet powerful attack that transforms familiarpuzzles into an effective jailbreak strategy by harnessing LLMs' reasoningcapabilities.",Yelim Ahn,2025/8/2,2025/8/2,,N/A,"['cs.AI', 'cs.CR']"
2507.17699v1,Thinking Isn't an Illusion: Overcoming the Limitations of Reasoning Models via Tool Augmentations,http://arxiv.org/abs/2507.17699v1,"Large Reasoning Models (LRMs) have become a central focus in today's largelanguage model (LLM) research, where models are designed to output astep-by-step thinking process before arriving at a final answer to handlecomplex reasoning tasks. Despite their promise, recent empirical studies (e.g.,[Shojaee et al., 2025] from Apple) suggest that this thinking process may notactually enhance reasoning ability, where LLMs without explicit reasoningactually outperform LRMs on tasks with low or high complexity. In this work, werevisit these findings and investigate whether the limitations of LRMs persistwhen tool augmentations are introduced. We incorporate two types of tools,Python interpreters and scratchpads, and evaluate three representative LLMs andtheir LRM counterparts on Apple's benchmark reasoning puzzles. Our results showthat, with proper tool use, LRMs consistently outperform their non-reasoningcounterparts across all levels of task complexity. These findings challenge therecent narrative that reasoning is an illusion and highlight the potential oftool-augmented LRMs for solving complex problems.",Zhao Song,2025/7/23,2025/7/23,,N/A,['cs.AI']
2507.14267v1,DREAMS: Density Functional Theory Based Research Engine for Agentic Materials Simulation,http://arxiv.org/abs/2507.14267v1,"Materials discovery relies on high-throughput, high-fidelity simulationtechniques such as Density Functional Theory (DFT), which require years oftraining, extensive parameter fine-tuning and systematic error handling. Toaddress these challenges, we introduce the DFT-based Research Engine forAgentic Materials Screening (DREAMS), a hierarchical, multi-agent framework forDFT simulation that combines a central Large Language Model (LLM) planner agentwith domain-specific LLM agents for atomistic structure generation, systematicDFT convergence testing, High-Performance Computing (HPC) scheduling, and errorhandling. In addition, a shared canvas helps the LLM agents to structure theirdiscussions, preserve context and prevent hallucination. We validate DREAMScapabilities on the Sol27LC lattice-constant benchmark, achieving averageerrors below 1\% compared to the results of human DFT experts. Furthermore, weapply DREAMS to the long-standing CO/Pt(111) adsorption puzzle, demonstratingits long-term and complex problem-solving capabilities. The framework againreproduces expert-level literature adsorption-energy differences. Finally,DREAMS is employed to quantify functional-driven uncertainties with Bayesianensemble sampling, confirming the Face Centered Cubic (FCC)-site preference atthe Generalized Gradient Approximation (GGA) DFT level. In conclusion, DREAMSapproaches L3-level automation - autonomous exploration of a defined designspace - and significantly reduces the reliance on human expertise andintervention, offering a scalable path toward democratized, high-throughput,high-fidelity computational materials discovery.",Ziqi Wang,2025/7/18,2025/7/18,,N/A,"['cs.AI', 'cond-mat.mtrl-sci']"
2507.11932v1,Hyperphantasia: A Benchmark for Evaluating the Mental Visualization Capabilities of Multimodal LLMs,http://arxiv.org/abs/2507.11932v1,"Mental visualization, the ability to construct and manipulate visualrepresentations internally, is a core component of human cognition and plays avital role in tasks involving reasoning, prediction, and abstraction. Despitethe rapid progress of Multimodal Large Language Models (MLLMs), currentbenchmarks primarily assess passive visual perception, offering limited insightinto the more active capability of internally constructing visual patterns tosupport problem solving. Yet mental visualization is a critical cognitive skillin humans, supporting abilities such as spatial navigation, predicting physicaltrajectories, and solving complex visual problems through imaginativesimulation. To bridge this gap, we introduce Hyperphantasia, a syntheticbenchmark designed to evaluate the mental visualization abilities of MLLMsthrough four carefully constructed puzzles. Each task is procedurally generatedand presented at three difficulty levels, enabling controlled analysis of modelperformance across increasing complexity. Our comprehensive evaluation ofstate-of-the-art models reveals a substantial gap between the performance ofhumans and MLLMs. Additionally, we explore the potential of reinforcementlearning to improve visual simulation capabilities. Our findings suggest thatwhile some models exhibit partial competence in recognizing visual patterns,robust mental visualization remains an open challenge for current MLLMs.",Mohammad Shahab Sepehri,2025/7/16,2025/7/16,,N/A,['cs.CV']
2507.07313v1,Frontier LLMs Still Struggle with Simple Reasoning Tasks,http://arxiv.org/abs/2507.07313v1,"While state-of-the-art large language models (LLMs) demonstrate advancedreasoning capabilities-achieving remarkable performance on challengingcompetitive math and coding benchmarks-they also frequently fail on tasks thatare easy for humans. This work studies the performance of frontier LLMs on abroad set of such ""easy"" reasoning problems. By extending previous work in theliterature, we create a suite of procedurally generated simple reasoning tasks,including counting, first-order logic, proof trees, and travel planning, withchangeable parameters (such as document length. or the number of variables in amath problem) that can arbitrarily increase the amount of computation requiredto produce the answer while preserving the fundamental difficulty. Whileprevious work showed that traditional, non-thinking models can be made to failon such problems, we demonstrate that even state-of-the-art thinking modelsconsistently fail on such problems and for similar reasons (e.g. statisticalshortcuts, errors in intermediate steps, and difficulties in processing longcontexts). To further understand the behavior of the models, we introduce theunpuzzles dataset, a different ""easy"" benchmark consisting of trivializedversions of well-known math and logic puzzles. Interestingly, while modern LLMsexcel at solving the original puzzles, they tend to fail on the trivializedversions, exhibiting several systematic failure patterns related to memorizingthe originals. We show that this happens even if the models are otherwise ableto solve problems with different descriptions but requiring the same logic. Ourresults highlight that out-of-distribution generalization is still problematicfor frontier language models and the new generation of thinking models, evenfor simple reasoning tasks, and making tasks easier does not necessarily implyimproved performance.",Alan Malek,2025/7/9,2025/7/9,,N/A,"['cs.CL', 'cs.AI', 'cs.LG']"
2507.04699v1,A Visual Leap in CLIP Compositionality Reasoning through Generation of Counterfactual Sets,http://arxiv.org/abs/2507.04699v1,"Vision-language models (VLMs) often struggle with compositional reasoning dueto insufficient high-quality image-text data. To tackle this challenge, wepropose a novel block-based diffusion approach that automatically generatescounterfactual datasets without manual annotation. Our method utilizes largelanguage models to identify entities and their spatial relationships. It thenindependently generates image blocks as ""puzzle pieces"" coherently arrangedaccording to specified compositional rules. This process creates diverse,high-fidelity counterfactual image-text pairs with precisely controlledvariations. In addition, we introduce a specialized loss function thatdifferentiates inter-set from intra-set samples, enhancing training efficiencyand reducing the need for negative samples. Experiments demonstrate thatfine-tuning VLMs with our counterfactual datasets significantly improves visualreasoning performance. Our approach achieves state-of-the-art results acrossmultiple benchmarks while using substantially less training data than existingmethods.",Zexi Jia,2025/7/7,2025/7/7,,N/A,['cs.CV']
2507.00092v1,Thinking About Thinking: SAGE-nano's Inverse Reasoning for Self-Aware Language Models,http://arxiv.org/abs/2507.00092v1,"Large Language Models (LLMs) have demonstrated remarkable capabilities atsolving complex reasoning tasks with Chain-of-Thought (CoT) prompting, buttheir decision-making processes remain somewhat blackbox. We introducetextbfinverse reasoning, a novel paradigm enabling LLMs to decompose andexplain their own reasoning chains post-hoc. Our approach, used in SAGE-nano, a4-billion-parameter reasoning model, employs a metacognitive structure thatreflects back via attention processes to identify major decision points andgenerate explanations of reasoning choices. While typical CoT approaches aredirected towards forward reasoning generation, inverse reasoning providesinsight into why specific reasoning chains were selected over others. Throughthorough testing of logical reasoning puzzles, math problems and ethicaldilemmas from AQUA-RAT, CommonsenseQA, and customized benchmarks, wedemonstrate that SAGE-nano is at the cutting edge both on reasoning accuracy(74.6% on AQUA-RAT) and explanation quality (92.1% human preference score) forits task, and offers performance almost on par with models like Claude-3.5Sonnet or GPT-4o. Our contributions are: (i) the first rigorous framework forLLM self-reflection via inverse reasoning, (ii) a novel metalearning frameworkto reverse the attention flow, (iii) comprehensive evaluation frameworks forreasoning transparency, and (iv) evidence that increasing reasoning usinginverse reasoning improves interpretability along with reasoning performance.Our work creates new avenues for transparent AI systems and closes significantgaps in AI safety, education, and scientific discovery.",Basab Jha,2025/6/30,2025/6/30,,N/A,"['cs.AI', 'cs.CL', 'cs.LG']"
2506.23508v1,Reinforcement Fine-Tuning Enables MLLMs Learning Novel Tasks Stably,http://arxiv.org/abs/2506.23508v1,"Post-training algorithms such as Supervised Fine-Tuning (SFT) andReinforcement Fine-Tuning (RFT) are widely used to adapt multimodal largelanguage models to downstream tasks. While effective at task adaptation, theirimpact on prior knowledge remains unclear. In this paper, we introduce jigsawpuzzles as a novel task absent from existing pretraining corpora andsystematically study the behavior of SFT and RFT on an open-source multimodalmodel, Qwen2.5-VL. Our experiments reveal a sharp trade-off: SFT enables rapidtask acquisition but leads to catastrophic forgetting, whereas RFT learns moreslowly on novel tasks but maintains prior knowledge. We analyze this phenomenonthrough the lens of learning dynamics, showing that RFT reinforces correctsamples that are naturally aligned with the base model's probability landscape,mitigating interference with prior knowledge. Moreover, supervised training oncorrect RFT-simulated rollouts allows SFT to preserve knowledge while rapidlylearning new tasks. These findings suggest that data distribution, rather thanalgorithmic differences, plays a central role in forgetting, and highlightRFT's potential for stable continual learning in multimodal large languagemodels.",Zhihao Zhang,2025/6/30,2025/6/30,,N/A,"['cs.CL', 'cs.AI']"
